nome,aluno_no_momento,anos_matriculados,ano_de_entrada,ano_de_saida,aluno_em_2016,aluno_em_2017,aluno_em_2018,aluno_em_2019,aluno_em_2020,fase_em_2020,aluno_em_2021,fase_em_2021,aluno_em_2022,fase_em_2022
ALUNO-1,False,2,2018,2021.0,False,False,True,True,True,2.0,True,2.0,False,
ALUNO-2,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-3,False,2,2018,2021.0,False,False,True,True,True,3.0,True,3.0,False,
ALUNO-4,True,2,2018,,False,False,True,True,True,1.0,False,,True,2.0
ALUNO-5,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,2.0
ALUNO-6,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-7,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-8,True,3,2017,,False,True,True,True,True,4.0,True,5.0,True,5.0
ALUNO-9,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-10,False,1,2019,2020.0,False,False,False,True,True,3.0,False,,False,
ALUNO-11,True,3,2020,,False,False,False,False,True,0.0,True,1.0,True,1.0
ALUNO-12,False,1,2017,2020.0,False,True,True,True,True,3.0,False,,False,
ALUNO-13,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-14,False,1,2018,2020.0,False,False,True,True,True,2.0,False,,False,
ALUNO-15,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-16,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-17,True,3,2018,,False,False,True,True,True,1.0,True,1.0,True,1.0
ALUNO-18,True,3,2017,,False,True,True,True,True,3.0,True,4.0,True,4.0
ALUNO-19,True,2,2021,,False,False,False,False,False,,True,2.0,True,2.0
ALUNO-20,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-21,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-22,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-23,True,1,2022,,False,False,False,False,False,,False,,True,1.0
